Unnamed: 0,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
29253,35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
14267,23,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0
26021,39,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,60,United-States,1
24278,33,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,32,United-States,0
4225,27,Self-emp-inc,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,38,United-States,0
30293,51,State-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
5243,50,Private,Assoc-voc,11,Separated,Prof-specialty,Unmarried,White,Female,40,United-States,0
27206,28,Federal-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,40,United-States,0
16071,57,State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
3208,47,Private,10th,6,Widowed,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
27406,31,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
8247,43,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
17054,60,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,50,United-States,1
22550,44,Private,HS-grad,9,Separated,Other-service,Unmarried,White,Female,39,United-States,0
18308,43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
17652,31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0
18986,33,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,48,United-States,0
5796,47,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,Germany,1
12745,39,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1
14444,25,Private,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,0
27980,56,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,48,United-States,1
11066,34,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,1
11889,22,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,20,England,0
4588,30,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,0
9813,25,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,0
20820,34,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,57,United-States,1
17542,37,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,35,United-States,0
5487,29,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
17041,24,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,United-States,0
12346,41,Federal-gov,HS-grad,9,Separated,Exec-managerial,Not-in-family,Black,Female,40,United-States,0
9103,66,Self-emp-not-inc,Some-college,10,Never-married,Sales,Not-in-family,White,Female,20,United-States,0
26531,34,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,52,Jamaica,0
28078,58,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,0
10023,49,Private,Bachelors,13,Never-married,Priv-house-serv,Not-in-family,White,Male,25,United-States,0
4064,58,Self-emp-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,50,United-States,0
3230,47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,35,United-States,1
31228,31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,47,United-States,0
19989,42,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,40,United-States,0
10731,30,Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0
16610,51,Private,HS-grad,9,Divorced,Craft-repair,Own-child,Black,Male,40,United-States,0
18198,31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0
21548,55,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
27464,35,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Own-child,White,Male,50,United-States,1
14059,20,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0
25682,30,Private,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,37,United-States,0
21197,27,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0
25184,24,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,0
11589,54,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Vietnam,0
11315,66,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,30,Philippines,0
9923,22,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,0
